ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
19.028,-19.532,-9.1937,22.49,-12.433,-15.007,6.0683,-1.4655,-2.1386,3031566,2021-05-02 14:22:27:768,Jogging
1.6889,-17.053,-14.86,-1.1813,-7.8811,-16.813,4.886,-1.3418,-2.8815,3031567,2021-05-02 14:22:27:769,Jogging
-1.9477,-17.747,-15.35,-5.2504,-8.8904,-17.961,2.5626,-0.57635,-1.2431,3031568,2021-05-02 14:22:27:770,Jogging
-12.354,-12.095,-12.572,-13.092,-2.4779,-10.8,2.3598,0.38607,-1.3906,3031569,2021-05-02 14:22:27:771,Jogging
3.6366,3.1191,-4.8352,-19.667,11.639,-13.765,3.821,4.9914,-0.80573,3031570,2021-05-02 14:22:27:772,Jogging
10.447,4.1133,4.9033,9.8116,13.389,8.0223,0.34941,7.3286,0.58185,3031571,2021-05-02 14:22:27:773,Jogging
6.6195,0.85808,1.6617,5.184,10.102,4.6049,0.03879,-1.2462,0.3375,3031572,2021-05-02 14:22:27:774,Jogging
3.3506,-3.3097,-5.8704,1.6,5.6957,-2.4051,-0.47617,-4.959,0.15455,3031573,2021-05-02 14:22:27:775,Jogging
-2.1929,0.040861,-9.6977,-3.4226,8.1562,-4.3311,-0.4499,-3.6499,0.20525,3031574,2021-05-02 14:22:27:776,Jogging
0.040861,0.47671,-6.8374,-1.1312,8.1071,-0.78984,-1.2343,0.76358,-0.015577,3031575,2021-05-02 14:22:27:777,Jogging
3.7184,-0.96704,0.28603,1.7539,6.3896,6.4659,-2.1728,1.3036,0.26542,3031576,2021-05-02 14:22:27:778,Jogging
4.1406,-2.0839,-0.095342,1.5532,5.2972,5.8203,-2.0974,-1.0595,0.21441,3031577,2021-05-02 14:22:27:779,Jogging
1.2803,-8.4719,-0.10896,-1.2439,-0.27663,4.6489,-2.7718,-2.1783,0.72418,3031578,2021-05-02 14:22:27:780,Jogging
2.4108,-18.129,-0.74912,0.15749,-9.3314,2.9523,-3.6811,-2.3683,1.2196,3031579,2021-05-02 14:22:27:781,Jogging
0.51757,-19.355,-1.3212,-1.2815,-10.197,1.692,-5.9773,-1.8787,1.8686,3031580,2021-05-02 14:22:27:782,Jogging
-3.5413,-19.491,-1.9341,-4.5863,-10.094,0.67099,-5.9468,-5.4294,1.0082,3031581,2021-05-02 14:22:27:783,Jogging
-10.924,-19.532,-11.972,-11.137,-10.686,-7.7436,-5.0363,-5.842,1.9774,3031582,2021-05-02 14:22:27:784,Jogging
1.2258,-19.532,-8.6898,2.2454,-10.307,-5.5221,-6.2769,-0.58613,2.7895,3031583,2021-05-02 14:22:27:785,Jogging
