ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
-4.522,4.4947,5.3528,-5.2707,14.249,4.672,-0.45265,-1.9939,-0.44318,3036435,2021-05-02 14:22:27:5637,Jogging
1.8115,4.2223,6.6331,0.80945,13.537,3.7359,0.86712,-1.0305,-0.88453,3036436,2021-05-02 14:22:27:5638,Jogging
2.3836,5.7342,7.1507,0.84683,14.313,2.6546,1.5669,-0.53787,-1.168,3036437,2021-05-02 14:22:27:5639,Jogging
0.49033,6.2109,7.7636,-1.4108,11.486,-0.28177,1.9554,0.74526,-1.3909,3036438,2021-05-02 14:22:27:5640,Jogging
-0.19068,3.7047,4.9442,-1.7228,5.9063,-4.4885,2.5791,2.5956,-1.5947,3036439,2021-05-02 14:22:27:5641,Jogging
-1.757,1.0624,-1.7843,-2.5607,2.6964,-11.42,2.5699,4.7085,-1.1967,3036440,2021-05-02 14:22:27:5642,Jogging
-2.6423,-6.1836,-7.4231,-2.4637,-1.4391,-16.004,2.1667,4.0149,-0.63163,3036441,2021-05-02 14:22:27:5643,Jogging
-4.5356,-18.129,-16.794,-3.1461,-8.6825,-19.032,0.58551,1.2788,-0.014966,3036442,2021-05-02 14:22:27:5644,Jogging
-4.1678,-19.191,-18.837,-2.7528,-9.7567,-21.109,-3.124,-1.9407,1.0586,3036443,2021-05-02 14:22:27:5645,Jogging
13.021,-9.0848,9.0984,12.294,-0.22715,13.244,-1.9083,-0.080023,0.91935,3036444,2021-05-02 14:22:27:5646,Jogging
1.3348,-5.0531,8.6353,-0.71308,4.4531,9.9034,-2.9853,1.0928,0.45418,3036445,2021-05-02 14:22:27:5647,Jogging
-4.4266,-5.1485,6.674,-5.1987,4.6131,6.1397,-0.87598,-0.4835,-0.72204,3036446,2021-05-02 14:22:27:5648,Jogging
-4.9578,-10.134,8.431,-4.8638,-0.47612,6.7293,1.627,2.8647,-0.40378,3036447,2021-05-02 14:22:27:5649,Jogging
-3.8001,-19.123,4.1814,-2.9059,-9.6202,1.9301,4.4505,5.3955,0.67745,3036448,2021-05-02 14:22:27:5650,Jogging
-2.833,-19.504,2.8603,-1.6594,-9.9649,0.91301,4.9935,4.0555,1.4285,3036449,2021-05-02 14:22:27:5651,Jogging
0.9398,-19.532,4.7671,1.8392,-9.9764,2.7522,4.6649,4.2602,1.6698,3036450,2021-05-02 14:22:27:5652,Jogging
17.203,-19.532,-1.2803,18.781,-10.427,-4.5659,5.6105,2.0421,0.19364,3036451,2021-05-02 14:22:27:5653,Jogging
10.161,-17.57,-8.0905,7.5531,-8.1205,-8.3588,3.4569,-3.0458,-2.8399,3036452,2021-05-02 14:22:27:5654,Jogging
5.6661,-18.319,-8.0496,2.9945,-7.2942,-7.5671,4.0464,-0.25473,-2.4105,3036453,2021-05-02 14:22:27:5655,Jogging
-2.3563,-15.677,-8.6625,-4.3898,-6.1638,-7.4241,3.7483,-0.35552,-1.9813,3036454,2021-05-02 14:22:27:5656,Jogging
-6.1155,-7.2324,-9.3844,-7.2438,2.2344,-7.0872,2.6176,-0.08491,-1.3115,3036455,2021-05-02 14:22:27:5657,Jogging
-8.4991,-0.38137,-10.256,-7.9104,8.6885,-6.5736,2.5058,3.0458,-1.2978,3036456,2021-05-02 14:22:27:5658,Jogging
4.4539,-0.31327,-1.3484,4.5802,8.4694,3.0127,0.93951,4.1973,0.39431,3036457,2021-05-02 14:22:27:5659,Jogging
5.2166,-1.4982,1.4301,4.791,7.3664,5.6024,0.92882,4.036,0.16982,3036458,2021-05-02 14:22:27:5660,Jogging
3.5685,-2.0839,-3.623,2.7592,6.641,0.78044,0.84269,-0.61697,-0.0076358,3036459,2021-05-02 14:22:27:5661,Jogging
0.92618,0.64016,-6.5105,-0.17064,8.7537,-1.1126,-0.055589,-3.3466,0.0058032,3036460,2021-05-02 14:22:27:5662,Jogging
-0.8036,0.38137,-6.8102,-1.7375,8.0417,-0.7589,-0.45784,-3.0681,-0.10293,3036461,2021-05-02 14:22:27:5663,Jogging
-0.76274,-0.040861,-7.4503,-1.5259,7.0997,-0.77193,-1.2578,-0.93157,-0.12767,3036462,2021-05-02 14:22:27:5664,Jogging
3.0782,-4.2904,-0.38137,1.617,3.0877,5.9114,-2.8857,0.72937,0.50916,3036463,2021-05-02 14:22:27:5665,Jogging
3.3642,-9.902,-0.77636,1.5948,-2.0269,4.7934,-3.5131,0.79382,0.41111,3036464,2021-05-02 14:22:27:5666,Jogging
3.5685,-17.557,0.25879,1.6931,-8.9891,4.6463,-4.6294,0.84513,0.10843,3036465,2021-05-02 14:22:27:5667,Jogging
-8.0769,-19.504,0.10896,-8.3365,-10.103,2.8861,-4.6942,-0.43891,0.17959,3036466,2021-05-02 14:22:27:5668,Jogging
-11.972,-19.532,-0.98067,-12.153,-10.248,2.1731,-3.6533,-3.904,0.13775,3036467,2021-05-02 14:22:27:5669,Jogging
-7.927,-19.532,-6.7829,-7.7462,-10.485,-3.0025,-3.7776,-5.6792,1.5498,3036468,2021-05-02 14:22:27:5670,Jogging
8.3765,-19.532,-9.8339,9.7007,-11.109,-4.9894,-4.9993,-0.20769,2.5229,3036469,2021-05-02 14:22:27:5671,Jogging
18.115,-19.532,-2.1248,19.647,-11.384,3.1135,-4.3152,-0.86285,0.35644,3036470,2021-05-02 14:22:27:5672,Jogging
4.5628,-14.833,1.4029,3.1003,-5.4067,3.6799,-4.3692,-2.9404,0.27092,3036471,2021-05-02 14:22:27:5673,Jogging
-0.12258,-6.7012,3.1191,-1.5146,2.8068,5.0764,-3.0846,-4.5775,0.41081,3036472,2021-05-02 14:22:27:5674,Jogging
-2.3427,-2.0294,3.6094,-3.5384,7.5621,5.2659,-1.6435,-3.8613,0.033598,3036473,2021-05-02 14:22:27:5675,Jogging
-4.808,4.2359,3.4868,-5.15,13.972,4.6107,-0.3766,-2.2126,-0.23824,3036474,2021-05-02 14:22:27:5676,Jogging
-1.4574,3.9908,4.4402,-1.636,13.775,5.0709,0.98502,-0.77824,-0.55436,3036475,2021-05-02 14:22:27:5677,Jogging
0.85808,4.4675,5.2847,0.53922,14.268,5.1721,1.7003,-0.28008,-0.78252,3036476,2021-05-02 14:22:27:5678,Jogging
1.7434,5.4345,7.2733,0.66576,14.694,4.2274,2.0959,0.3427,-1.106,3036477,2021-05-02 14:22:27:5679,Jogging
0.49033,4.5492,6.0611,-0.75851,13.056,1.3449,2.7755,2.1915,-1.3366,3036478,2021-05-02 14:22:27:5680,Jogging
-0.64016,-1.5663,-3.1599,-1.7317,6.8296,-8.1084,2.4908,3.9691,-1.2391,3036479,2021-05-02 14:22:27:5681,Jogging
-1.8796,-9.112,-9.221,-2.2155,0.60091,-10.531,1.1371,3.5259,-0.49144,3036480,2021-05-02 14:22:27:5682,Jogging
-3.1872,-14.152,-14.097,-2.7027,-4.6208,-11.839,-0.38912,0.97983,0.15333,3036481,2021-05-02 14:22:27:5683,Jogging
-2.5742,-14.724,-19.191,-2.1766,-5.1893,-16.931,-2.0275,-0.94531,0.56352,3036482,2021-05-02 14:22:27:5684,Jogging
9.1937,-0.49033,16.521,7.9502,8.6213,19.928,-0.1069,1.5739,0.59193,3036483,2021-05-02 14:22:27:5685,Jogging
-5.5571,-5.5707,-3.732,-5.6906,3.5159,-0.046168,-1.6179,3.4816,0.93157,3036484,2021-05-02 14:22:27:5686,Jogging
-6.3335,-9.5206,-4.2087,-5.4262,-0.49163,-0.49055,-0.19945,-0.76083,-0.42119,3036485,2021-05-02 14:22:27:5687,Jogging
-1.2258,-12.735,9.8611,-0.35037,-2.9676,9.8861,1.3036,3.4349,-0.24068,3036486,2021-05-02 14:22:27:5688,Jogging
-2.7649,-17.843,4.4402,-1.7466,-8.1037,3.9054,3.9303,5.3493,0.49114,3036487,2021-05-02 14:22:27:5689,Jogging
-3.2961,-19.45,3.4051,-2.0249,-9.7602,2.5899,4.5852,5.1749,1.3943,3036488,2021-05-02 14:22:27:5690,Jogging
1.0488,-19.518,7.0281,1.9987,-9.8431,5.7376,4.6792,3.744,1.8622,3036489,2021-05-02 14:22:27:5691,Jogging
17.529,-19.532,-3.228,19.072,-10.202,-5.8243,5.4584,0.99143,1.6356,3036490,2021-05-02 14:22:27:5692,Jogging
10.011,-19.123,-7.2869,11.238,-10.018,-10.716,3.3982,-2.7901,-2.5898,3036491,2021-05-02 14:22:27:5693,Jogging
5.4209,-18.782,-7.7772,3.3368,-9.2019,-7.5775,4.178,-0.32773,-2.1976,3036492,2021-05-02 14:22:27:5694,Jogging
-2.5742,-17.298,-9.9837,-3.9898,-7.6951,-8.5862,3.3784,-0.79382,-2.0794,3036493,2021-05-02 14:22:27:5695,Jogging
-10.474,-6.7421,-9.1801,-11.094,2.8461,-7.2172,3.1924,0.5962,-2.0861,3036494,2021-05-02 14:22:27:5696,Jogging
-17.121,-2.152,-11.945,-16.45,7.2308,-9.173,2.6903,2.8518,-0.6298,3036495,2021-05-02 14:22:27:5697,Jogging
4.0589,1.866,-5.993,4.8321,10.754,-1.9226,0.64324,4.383,0.89125,3036496,2021-05-02 14:22:27:5698,Jogging
5.6661,-0.027241,1.6344,5.8819,8.9479,5.5804,0.55436,4.5448,0.60628,3036497,2021-05-02 14:22:27:5699,Jogging
5.2166,-1.8115,-2.5742,4.8656,7.0883,1.5295,0.88209,-0.035125,0.26909,3036498,2021-05-02 14:22:27:5700,Jogging
2.547,-1.5119,-6.5514,1.5414,6.8849,-1.5862,0.039401,-3.1179,-0.04612,3036499,2021-05-02 14:22:27:5701,Jogging
0.91256,0.8036,-6.6331,-0.1703,8.7673,-1.0137,-0.3543,-3.1664,-0.10018,3036500,2021-05-02 14:22:27:5702,Jogging
-0.38137,-0.16344,-4.5628,-1.3021,8.1497,-0.34697,-1.0565,-1.1014,-0.12798,3036501,2021-05-02 14:22:27:5703,Jogging
0.77636,-2.0294,-1.076,-0.20063,5.206,5.4711,-2.6545,-0.31398,0.71838,3036502,2021-05-02 14:22:27:5704,Jogging
1.1577,-4.9033,-0.8036,0.065233,2.6036,5.4112,-2.6597,-0.48625,0.78771,3036503,2021-05-02 14:22:27:5705,Jogging
1.7434,-10.025,-1.4846,0.53874,-2.0442,4.0861,-3.6551,-0.34972,1.1603,3036504,2021-05-02 14:22:27:5706,Jogging
1.8796,-19.314,-0.64016,0.63459,-10.272,2.9464,-5.4413,0.025962,1.1576,3036505,2021-05-02 14:22:27:5707,Jogging
-7.0962,-19.504,-0.51757,-7.3628,-10.157,2.437,-4.9401,-2.0467,0.26634,3036506,2021-05-02 14:22:27:5708,Jogging
-13.062,-19.532,-1.3484,-13.245,-10.334,2.0492,-3.8879,-4.5256,1.3922,3036507,2021-05-02 14:22:27:5709,Jogging
0.40861,-19.532,-15.99,1.0687,-10.81,-11.556,-5.3335,-4.9446,2.5067,3036508,2021-05-02 14:22:27:5710,Jogging
14.969,-19.532,-5.9521,16.389,-11.38,-0.68854,-4.54,-0.0079412,2.4743,3036509,2021-05-02 14:22:27:5711,Jogging
7.4231,-19.532,1.0896,5.8355,-10.236,3.7823,-4.5632,-1.5543,0.4047,3036510,2021-05-02 14:22:27:5712,Jogging
4.5901,-14.043,3.3097,2.8386,-4.6531,5.5323,-3.4868,-5.0442,0.2474,3036511,2021-05-02 14:22:27:5713,Jogging
-2.9829,0.35413,3.9227,-4.3672,9.9294,5.5249,-2.4618,-4.251,0.23213,3036512,2021-05-02 14:22:27:5714,Jogging
-5.5299,5.9112,3.5685,-6.4744,15.576,4.936,-1.1643,-2.5788,-0.055894,3036513,2021-05-02 14:22:27:5715,Jogging
-5.4481,4.9987,3.9635,-5.8308,14.746,4.9684,-0.49022,-1.8396,-0.28955,3036514,2021-05-02 14:22:27:5716,Jogging
1.9341,4.6309,5.7069,1.2708,14.4,5.1585,1.2474,-0.74862,-1.0531,3036515,2021-05-02 14:22:27:5717,Jogging
1.0351,6.7421,6.4424,0.090735,16.32,4.5612,1.482,-0.40134,-1.1047,3036516,2021-05-02 14:22:27:5718,Jogging
-0.10896,6.3335,6.1019,-1.1292,15.412,2.5371,1.9911,1.117,-1.3436,3036517,2021-05-02 14:22:27:5719,Jogging
0.19068,4.1678,4.413,-0.91818,11.062,-2.4726,2.4569,2.533,-1.4713,3036518,2021-05-02 14:22:27:5720,Jogging
-1.5527,-0.39499,-1.3757,-2.1257,6.8484,-7.9616,2.478,4.2748,-1.2743,3036519,2021-05-02 14:22:27:5721,Jogging
-3.6775,-12.354,-12.054,-2.2429,-2.6697,-11.477,1.8115,4.1423,-0.63683,3036520,2021-05-02 14:22:27:5722,Jogging
-7.069,-17.829,-18.251,-5.6915,-8.1331,-17.74,0.21014,1.4062,0.043982,3036521,2021-05-02 14:22:27:5723,Jogging
8.9349,-5.9385,5.993,9.1335,2.8469,10.346,-1.6887,-1.7785,0.6857,3036522,2021-05-02 14:22:27:5724,Jogging
-1.8932,-11.155,-2.5742,-1.4492,-2.2107,1.4221,-3.2254,2.8592,0.95112,3036523,2021-05-02 14:22:27:5725,Jogging
-4.2223,-10.052,5.993,-3.2163,-0.66963,8.6637,-0.52901,-0.90164,-0.19792,3036524,2021-05-02 14:22:27:5726,Jogging
-2.6696,-4.9578,7.75,-1.3075,4.7516,7.957,0.59162,1.8283,-0.4444,3036525,2021-05-02 14:22:27:5727,Jogging
-2.1248,-15.255,7.355,-0.7697,-5.5805,6.4936,3.5378,4.9172,0.02474,3036526,2021-05-02 14:22:27:5728,Jogging
-3.0918,-18.469,4.2495,-1.6824,-8.8348,3.0822,4.7608,3.8234,1.2856,3036527,2021-05-02 14:22:27:5729,Jogging
1.4165,-19.518,3.8273,2.2093,-9.8468,2.4096,4.9364,3.1844,0.98227,3036528,2021-05-02 14:22:27:5730,Jogging
4.7944,-19.532,2.547,5.036,-9.8277,1.1518,5.3301,2.9282,1.0369,3036529,2021-05-02 14:22:27:5731,Jogging
10.46,-19.532,0.58567,10.842,-9.9135,-1.2897,4.7321,0.1463,0.26084,3036530,2021-05-02 14:22:27:5732,Jogging
4.7126,-16.862,-5.3937,3.0688,-7.1965,-5.609,3.758,-2.8781,-2.325,3036531,2021-05-02 14:22:27:5733,Jogging
0.8717,-17.856,-7.5457,-0.62211,-8.1703,-7.1983,4.0742,-1.4728,-2.2367,3036532,2021-05-02 14:22:27:5734,Jogging
-2.6968,-15.704,-9.3844,-3.8339,-6.0116,-8.4202,3.609,-1.6277,-2.1881,3036533,2021-05-02 14:22:27:5735,Jogging
-13.634,-1.3893,-10.964,-10.074,3.3666,-9.3953,2.9181,-0.4945,-2.0971,3036534,2021-05-02 14:22:27:5736,Jogging
-6.4288,0.89894,-9.1937,-5.1646,10.055,-5.9162,1.8189,4.6386,-0.31887,3036535,2021-05-02 14:22:27:5737,Jogging
2.1929,1.1305,-4.0589,3.2463,10.167,-0.39824,1.0091,5.4172,0.31765,3036536,2021-05-02 14:22:27:5738,Jogging
4.3858,0.31327,2.6287,4.9848,9.4764,6.0708,1.2828,2.974,-0.031765,3036537,2021-05-02 14:22:27:5739,Jogging
2.656,-2.3155,-4.2904,2.4244,6.6503,-0.3241,0.26298,-2.5155,0.013439,3036538,2021-05-02 14:22:27:5740,Jogging
2.8603,-1.3893,-6.3471,2.2696,7.2654,-1.7734,-0.39798,-4.3191,0.022907,3036539,2021-05-02 14:22:27:5741,Jogging
2.0158,-0.24517,-9.6296,0.78753,7.284,-3.4674,-0.31796,-2.9554,-0.41966,3036540,2021-05-02 14:22:27:5742,Jogging
0.98067,-1.076,-5.1213,-0.3124,6.1376,1.3951,-2.135,-0.71807,-0.42394,3036541,2021-05-02 14:22:27:5743,Jogging
1.4165,-4.8625,-0.72188,-0.14262,2.6695,5.3616,-3.0262,-0.014355,0.17929,3036542,2021-05-02 14:22:27:5744,Jogging
0.85808,-10.174,-1.1577,-0.61693,-2.1391,4.267,-3.6597,-0.50732,0.63652,3036543,2021-05-02 14:22:27:5745,Jogging
-0.54481,-19.096,0.16344,-0.61693,-2.1391,4.267,-4.1606,-0.24618,0.84727,3036544,2021-05-02 14:22:27:5746,Jogging
-0.54481,-19.096,0.16344,-1.6267,-10.31,4.3835,-5.5409,-1.3283,0.65851,3036545,2021-05-02 14:22:27:5747,Jogging
-12.095,-19.504,-0.57205,-12.916,-11.437,4.943,-4.4783,-3.6997,1.5021,3036546,2021-05-02 14:22:27:5748,Jogging
-1.185,-19.532,-11.904,-1.0779,-12.249,-5.3376,-4.7137,-4.0919,1.9542,3036547,2021-05-02 14:22:27:5749,Jogging
15.078,-19.532,-4.699,15.953,-13.294,2.8173,-5.0381,0.018631,1.6512,3036548,2021-05-02 14:22:27:5750,Jogging
16.263,-19.532,0.49033,17.211,-13.632,8.2667,-4.6875,-1.1839,0.55955,3036549,2021-05-02 14:22:27:5751,Jogging
5.094,-11.536,3.1872,2.548,-2.3007,5.2823,-4.1566,-4.1634,0.78252,3036550,2021-05-02 14:22:27:5752,Jogging
-1.1577,-2.2337,3.8137,-3.531,7.1764,5.2234,-2.9835,-4.9541,0.49175,3036551,2021-05-02 14:22:27:5753,Jogging
-4.1542,5.1485,3.732,-6.0541,14.741,4.4656,-1.6863,-3.9193,0.28344,3036552,2021-05-02 14:22:27:5754,Jogging
-4.5764,3.8273,4.5083,-5.987,13.53,4.6861,-0.28283,-2.08,-0.088575,3036553,2021-05-02 14:22:27:5755,Jogging
-0.74912,3.3097,5.38,-1.6436,12.942,3.7735,1.1139,-0.89644,-0.73029,3036554,2021-05-02 14:22:27:5756,Jogging
0.76274,6.4969,6.1836,-0.56181,14.922,1.3433,1.9496,0.033292,-1.1167,3036555,2021-05-02 14:22:27:5757,Jogging
0.24517,6.7966,6.1292,-1.3129,10.835,-2.6705,2.5162,1.3097,-1.3402,3036556,2021-05-02 14:22:27:5758,Jogging
-0.64016,5.5162,5.2575,-1.5756,5.225,-4.5001,3.2122,3.0052,-1.5275,3036557,2021-05-02 14:22:27:5759,Jogging
-0.36775,0.12258,-0.19068,-0.72764,-1.466,-9.8611,3.127,4.0937,-1.4713,3036558,2021-05-02 14:22:27:5760,Jogging
-1.0351,-2.9556,-3.3778,-1.291,-3.1997,-13.178,2.2462,3.9835,-0.79199,3036559,2021-05-02 14:22:27:5761,Jogging
-3.4732,-18.265,-17.325,-2.2519,-10.975,-23.77,0.50366,2.2486,0.058948,3036560,2021-05-02 14:22:27:5762,Jogging
-0.21793,-15.514,-19.355,1.2717,-8.0951,-25.593,-2.1191,-0.23366,0.63835,3036561,2021-05-02 14:22:27:5763,Jogging
10.529,-1.1441,8.2403,9.3201,6.6919,14.012,-2.7846,-2.7999,0.12126,3036562,2021-05-02 14:22:27:5764,Jogging
-1.2939,-6.3198,3.0237,-3.6107,2.8589,5.5836,-1.3418,3.3225,0.22663,3036563,2021-05-02 14:22:27:5765,Jogging
-5.5435,-4.2223,1.9886,-5.1972,5.4301,3.686,-0.60201,-1.4759,-0.16982,3036564,2021-05-02 14:22:27:5766,Jogging
-3.8546,-3.5685,3.7184,-2.7969,6.1411,4.5986,-0.068722,0.0064141,-0.29383,3036565,2021-05-02 14:22:27:5767,Jogging
-4.5492,-15.078,6.851,-2.5802,-5.5703,5.4717,3.569,6.1142,0.64721,3036566,2021-05-02 14:22:27:5768,Jogging
-1.6753,-19.246,5.5299,0.0030301,-9.7741,3.6208,4.7418,5.3148,1.5791,3036567,2021-05-02 14:22:27:5769,Jogging
1.2258,-19.504,4.9033,2.459,-9.986,2.8907,4.9807,3.8194,1.6231,3036568,2021-05-02 14:22:27:5770,Jogging
13.716,-19.532,5.8704,14.662,-10.098,3.3637,5.4052,3.0168,1.6802,3036569,2021-05-02 14:22:27:5771,Jogging
18.088,-19.532,1.5391,19.266,-10.258,-1.4243,4.6102,-1.9786,-1.8683,3036570,2021-05-02 14:22:27:5772,Jogging
7.6546,-18.251,-7.9134,4.9496,-8.8375,-8.3974,4.6175,-2.1371,-3.3665,3036571,2021-05-02 14:22:27:5773,Jogging
-0.21793,-19.45,-9.5206,-2.4181,-9.9249,-8.7436,4.364,-0.48106,-1.4487,3036572,2021-05-02 14:22:27:5774,Jogging
-4.7671,-11.032,-9.9292,-6.2634,-1.5221,-8.0626,2.8433,-1.1261,-1.7034,3036573,2021-05-02 14:22:27:5775,Jogging
-18.333,-0.58567,-10.924,-17.365,8.6618,-7.8062,2.6224,2.3582,-1.6765,3036574,2021-05-02 14:22:27:5776,Jogging
-8.2131,1.0488,-10.229,-6.6126,9.9263,-6.3822,2.6063,4.0662,0.37538,3036575,2021-05-02 14:22:27:5777,Jogging
8.0632,-0.054481,-0.095342,8.2938,8.9314,3.8253,0.28863,5.4789,0.90469,3036576,2021-05-02 14:22:27:5778,Jogging
5.7614,-2.0567,-3.9499,4.5191,6.6816,0.32438,-0.14813,-1.1625,0.24435,3036577,2021-05-02 14:22:27:5779,Jogging
4.3177,-2.5742,-5.3528,2.6344,5.8994,-0.71221,-0.45937,-3.1331,0.035736,3036578,2021-05-02 14:22:27:5780,Jogging
0.91256,0.14982,-7.8045,-1.0858,7.7569,-1.947,-0.26695,-2.9719,-0.16127,3036579,2021-05-02 14:22:27:5781,Jogging
-0.70826,0.19068,-4.0044,-2.3301,6.9906,2.8732,-1.2749,-1.3506,-0.17593,3036580,2021-05-02 14:22:27:5782,Jogging
0.8036,-0.84446,-1.4982,-0.75185,5.8277,5.5184,-2.2016,-0.9218,0.30482,3036581,2021-05-02 14:22:27:5783,Jogging
1.5391,-4.3858,-1.0624,-0.48786,2.6964,5.411,-2.3983,-2.1457,0.36224,3036582,2021-05-02 14:22:27:5784,Jogging
1.471,-9.0575,-2.2474,-0.50903,-1.4942,3.6726,-3.073,-2.3695,0.89797,3036583,2021-05-02 14:22:27:5785,Jogging
2.6423,-18.061,-1.6753,0.8304,-9.3912,2.5353,-4.433,-0.85796,1.8818,3036584,2021-05-02 14:22:27:5786,Jogging
-5.5162,-19.491,-0.62654,-6.2828,-10.147,2.2518,-5.5231,-1.1493,1.4282,3036585,2021-05-02 14:22:27:5787,Jogging
-10.025,-19.532,-7.2188,-10.347,-10.587,-3.2111,-4.5225,-3.7999,0.80665,3036586,2021-05-02 14:22:27:5788,Jogging
-1.6344,-19.532,-11.822,-1.3244,-10.989,-7.0165,-5.0427,-3.5152,2.1872,3036587,2021-05-02 14:22:27:5789,Jogging
16.481,-19.532,-3.1599,17.289,-10.584,0.77179,-4.0894,0.76022,1.6243,3036588,2021-05-02 14:22:27:5790,Jogging
13.307,-19.532,-0.1362,14.301,-10.955,4.5142,-4.6566,-2.934,0.69455,3036589,2021-05-02 14:22:27:5791,Jogging
5.5571,-13.416,3.514,3.5842,-4.0167,5.4965,-3.759,-4.2473,0.45357,3036590,2021-05-02 14:22:27:5792,Jogging
-0.17706,-3.8137,4.0589,-2.1378,5.7066,5.3589,-2.7196,-4.6753,0.52779,3036591,2021-05-02 14:22:27:5793,Jogging
-6.1292,6.5105,3.9499,-7.3824,16.212,4.6454,-1.4682,-3.1392,0.22022,3036592,2021-05-02 14:22:27:5794,Jogging
-6.0883,6.0202,4.5628,-6.7062,15.805,4.7617,-0.13622,-1.7404,-0.25565,3036593,2021-05-02 14:22:27:5795,Jogging
-0.081722,4.3449,5.9249,-0.26518,14.015,4.3026,1.1814,-0.89492,-0.93523,3036594,2021-05-02 14:22:27:5796,Jogging
1.4846,7.8589,7.0553,0.96208,17.069,3.7276,1.8274,-0.41997,-1.223,3036595,2021-05-02 14:22:27:5797,Jogging
0.7355,5.2438,6.0611,-0.28714,12.002,-0.97152,2.456,0.90866,-1.4319,3036596,2021-05-02 14:22:27:5798,Jogging
0.29965,4.5901,5.2575,-0.76976,9.6625,-3.067,2.9725,3.5797,-1.6182,3036597,2021-05-02 14:22:27:5799,Jogging
-2.3291,-1.2667,-4.5492,-2.2115,4.5771,-12.424,2.273,4.4648,-1.0321,3036598,2021-05-02 14:22:27:5800,Jogging
-3.4868,-14.506,-12.517,-1.6661,-5.0203,-10.819,1.1988,3.4908,-0.31215,3036599,2021-05-02 14:22:27:5801,Jogging
-3.1191,-18.742,-18.891,-1.422,-9.2249,-17.241,-0.21228,0.58124,0.2364,3036600,2021-05-02 14:22:27:5802,Jogging
7.7908,-7.1507,-0.6674,7.9758,0.86045,4.9857,-2.6444,-2.8662,0.25412,3036601,2021-05-02 14:22:27:5803,Jogging
2.3155,-16.086,-1.58,1.0561,-6.9794,1.8349,-0.92118,2.7538,-0.068111,3036602,2021-05-02 14:22:27:5804,Jogging
-4.3449,-3.6366,10.052,-4.7698,6.1511,10.488,-3.3329,1.1002,0.84025,3036603,2021-05-02 14:22:27:5805,Jogging
-3.7865,1.5527,4.2359,-3.6658,11.357,4.0606,-0.52779,-1.3393,-0.73059,3036604,2021-05-02 14:22:27:5806,Jogging
-5.4481,-3.4051,4.8761,-3.73,6.1464,3.4664,1.631,2.4199,-0.66645,3036605,2021-05-02 14:22:27:5807,Jogging
-4.7399,-17.761,5.7205,-2.4666,-8.4909,3.4693,3.6374,7.2299,0.92913,3036606,2021-05-02 14:22:27:5808,Jogging
-0.57205,-19.423,7.5048,1.1207,-10.127,4.8798,4.5632,5.0454,1.9765,3036607,2021-05-02 14:22:27:5809,Jogging
9.0984,-19.532,4.0725,9.3666,-10.1,1.4002,5.1765,3.292,1.8943,3036608,2021-05-02 14:22:27:5810,Jogging
17.638,-19.532,-5.1349,18.326,-10.43,-8.7208,4.3539,-1.2086,-0.014355,3036609,2021-05-02 14:22:27:5811,Jogging
9.0031,-17.502,-6.2517,6.4824,-8.0705,-7.18,3.7162,-2.6426,-2.4826,3036610,2021-05-02 14:22:27:5812,Jogging
0.47671,-19.314,-7.8998,-1.6719,-9.7504,-7.5858,4.2028,-0.19456,-1.9111,3036611,2021-05-02 14:22:27:5813,Jogging
-0.77636,-17.87,-8.2539,-2.6233,-8.2729,-7.4439,3.4315,-1.35,-1.8949,3036612,2021-05-02 14:22:27:5814,Jogging
-13.021,-7.8998,-8.9894,-13.479,1.7264,-7.1736,3.0785,0.61087,-2.0595,3036613,2021-05-02 14:22:27:5815,Jogging
-3.7047,-0.27241,-11.264,-2.5835,8.838,-7.8124,2.9086,2.6701,-0.35797,3036614,2021-05-02 14:22:27:5816,Jogging
4.5356,0.6674,-5.0123,5.259,9.6545,-1.1551,0.86896,5.5653,0.60812,3036615,2021-05-02 14:22:27:5817,Jogging
5.6661,-0.96704,-1.2667,5.2143,7.997,2.6846,1.2196,4.4703,0.13317,3036616,2021-05-02 14:22:27:5818,Jogging
3.3097,-2.3836,-4.3585,2.0182,6.284,0.04331,0.27245,-0.99082,-0.051313,3036617,2021-05-02 14:22:27:5819,Jogging
2.6015,-0.25879,-8.9077,0.81745,7.4582,-3.1253,-0.19426,-3.7556,-0.15272,3036618,2021-05-02 14:22:27:5820,Jogging
0.64016,0.19068,-8.0632,-1.1083,7.3652,-1.6104,-0.50549,-1.0516,-0.49663,3036619,2021-05-02 14:22:27:5821,Jogging
-0.16344,-0.43585,-4.3313,-1.6349,5.9894,2.9297,-1.8259,0.18387,-0.063835,3036620,2021-05-02 14:22:27:5822,Jogging
2.6015,-5.8976,-0.99429,0.74917,0.96445,5.7623,-3.0247,-0.022907,0.57177,3036621,2021-05-02 14:22:27:5823,Jogging
4.2223,-10.188,-0.96704,1.996,-2.7467,5.0197,-3.583,0.21838,0.49358,3036622,2021-05-02 14:22:27:5824,Jogging
4.127,-19.109,0.54481,1.6841,-10.367,4.256,-4.6798,0.89278,0.17868,3036623,2021-05-02 14:22:27:5825,Jogging
